D_WEEK_SEQ1,"ROUND(SUN_SALES1/SUN_SALES2,2)","ROUND(MON_SALES1/MON_SALES2,2)","ROUND(TUE_SALES1/TUE_SALES2,2)","ROUND(WED_SALES1/WED_SALES2,2)","ROUND(THU_SALES1/THU_SALES2,2)","ROUND(FRI_SALES1/FRI_SALES2,2)","ROUND(SAT_SALES1/SAT_SALES2,2)"
5219,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5219,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5219,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5219,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5219,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5219,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5219,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5219,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5219,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5219,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5219,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5219,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5219,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5220,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5221,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5222,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5223,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5224,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5225,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5226,1.00,1.00,1.00,1.00,2.98,1.50,1.00
5227,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5227,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5227,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5227,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5227,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5227,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5227,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5227,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5227,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5227,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5227,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5227,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5227,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5227,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5227,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5227,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5227,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5227,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5227,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5227,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5227,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5227,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5227,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5227,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5227,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5227,1.00,1.00,1.00,1.00,1.00,1.00,1.00
