W_WAREHOUSE_NAME,W_WAREHOUSE_SQ_FT,W_CITY,W_COUNTY,W_STATE,W_COUNTRY,SHIP_CARRIERS,YEAR,JAN_SALES,FEB_SALES,MAR_SALES,APR_SALES,MAY_SALES,JUN_SALES,JUL_SALES,AUG_SALES,SEP_SALES,OCT_SALES,NOV_SALES,DEC_SALES,JAN_SALES_PER_SQ_FOOT,FEB_SALES_PER_SQ_FOOT,MAR_SALES_PER_SQ_FOOT,APR_SALES_PER_SQ_FOOT,MAY_SALES_PER_SQ_FOOT,JUN_SALES_PER_SQ_FOOT,JUL_SALES_PER_SQ_FOOT,AUG_SALES_PER_SQ_FOOT,SEP_SALES_PER_SQ_FOOT,OCT_SALES_PER_SQ_FOOT,NOV_SALES_PER_SQ_FOOT,DEC_SALES_PER_SQ_FOOT,JAN_NET,FEB_NET,MAR_NET,APR_NET,MAY_NET,JUN_NET,JUL_NET,AUG_NET,SEP_NET,OCT_NET,NOV_NET,DEC_NET
Months woul,733897,Liberty,San Miguel County,NM,United States,"GREAT EASTERN,UPS",1998,21531010737.88,20207514985.02,21814135208.03,21498345666.75,22081519599.21,21651579209.26,22362740895.82,49213551858.56,49197481101.45,50806123732.54,73155439525.53,77409350577.76,29337.91899665,27534.53820497,29723.70129328,29293.40992912,30088.03633100,29502.20427289,30471.22538424,67057.84579929,67035.94796198,69227.86676133,99680.79924776,105477.13177429,57489851537.22,52701880044.99,56601493906.09,56447448949.53,58094223614.19,56175911201.86,58213208765.97,129440838814.56,128017081343.43,132436980708.48,191753777448.83,201193036172.62
"National, comple",914242,Midway,Raleigh County,WV,United States,"GREAT EASTERN,UPS",1998,21663221509.28,20208296901.58,21588695429.60,21579992854.11,22207748649.47,21813392814.83,22256989272.14,49334421615.23,49349500012.57,50759607611.16,73053934959.44,77140537643.22,23695.28145642,22103.88157794,23613.76465924,23604.24576219,24290.88649337,23859.53917543,24344.74599958,53962.10370474,53978.59649039,55520.97542134,79906.56189437,84376.49729855,57553189002.18,52817149367.55,56397089135.11,56148788954.39,58168265722.91,56829242645.09,58193039466.91,129820880596.39,128775366293.27,132460653424.04,191680485727.92,201239770873.44
New proceedings fo,926078,Mount Pleasant,Barrow County,GA,United States,"GREAT EASTERN,UPS",1998,21339914578.88,20083268404.61,21694549251.05,21762602383.69,22459235323.08,21419741331.98,22284431739.65,49198654436.42,49377591803.28,51184362911.69,73302919582.08,77042158329.89,23043.32310980,21686.36810788,23426.26566126,23499.75097529,24251.99100193,23129.52184587,24063.23413325,53125.82140643,53319.04202808,55270.03439418,79154.15287058,83191.86756395,57092657945.16,52420111804.13,56559509593.45,56536728981.09,58207776744.81,56169782935.18,58243729535.74,129381191994.65,128471135823.82,132739223915.21,192016126667.40,200867478630.74
"New, net purposes",758375,Union,Franklin Parish,LA,United States,"GREAT EASTERN,UPS",1998,21672557158.17,20125370822.97,21560209947.42,21648672668.81,22329390922.63,21573997319.81,22320215885.90,49166770327.03,49123264446.18,51198309212.95,73323757725.35,77269883329.89,28577.62605329,26537.49243180,28429.48402495,28546.13175383,29443.73287968,28447.66417644,29431.63459489,64831.73934667,64774.37210639,67510.54453661,96685.35714568,101888.75336065,57841338552.69,52435232837.55,56675427040.75,56572239453.51,58209508098.68,56414430610.71,58254415456.95,129517630648.47,128174416402.38,132951064114.55,192258792241.19,201119863893.63
"Other, alon",513562,Fairview,Mesa County,CO,United States,"GREAT EASTERN,UPS",1998,21523009414.45,20250854841.33,21606857422.34,21620775485.87,22232116709.92,21618741959.72,22453369185.51,48983874357.18,49307492125.97,50852833798.84,72763954671.74,76865988639.38,41909.27174217,39432.15199203,42072.53928900,42099.64032750,43290.03452343,42095.68067676,43720.85392904,95380.64412316,96010.78764778,99019.85310213,141684.84948602,149672.26671635,57530698050.92,52615780099.17,56232909146.39,56368641736.96,58239839485.67,56433353790.87,58137110855.25,129470380202.66,128162747049.40,132442011541.39,191355201089.15,200426666487.48
"Plain, reluctant",514427,Pleasant Hill,Huron County,MI,United States,"GREAT EASTERN,UPS",1998,21749582546.26,20377577136.10,21704072746.11,21740723455.33,22283685481.31,21747534637.20,22507417721.29,48854877178.33,49147056771.89,51051448780.85,72760502230.39,77128491232.55,42279.23990432,39612.18430623,42190.77293010,42262.01862525,43317.48815927,42275.25895259,43752.40358941,94969.50428016,95537.47523340,99239.44268254,141439.89765387,149930.87694182,57591576326.24,52657285100.72,56685552905.89,56240103369.92,58366796889.23,56565521708.76,58505432988.03,129098612105.70,128415043592.31,132728400597.89,191095386421.89,200456596973.38
Please central m,418158,Shady Grove,Mesa County,CO,United States,"GREAT EASTERN,UPS",1998,21575913492.32,20183203830.11,21724453840.56,21818392526.67,22462644235.62,21725648797.34,22409815882.93,49090260999.50,49222074357.90,50869522538.83,73006725079.73,76879310834.18,51597.51455746,48266.93218857,51952.73997044,52177.38875418,53718.07841921,51955.59763855,53591.74255409,117396.44105697,117711.66486807,121651.43926179,174591.24321364,183852.30184327,57605234939.63,52688334514.34,56601743724.31,56565912308.41,58544173366.32,56299197480.86,58203583068.99,129350859364.84,128647616397.43,132858565449.86,191964587920.88,201075430744.00
Quite effectiv,662475,Pine Grove,Raleigh County,WV,United States,"GREAT EASTERN,UPS",1998,21822037482.84,19994937799.14,21741190027.69,21510004015.52,22328886559.29,21613823612.76,22422738094.34,48998357897.34,48994530819.93,50748274050.67,72810316392.05,77064511705.32,32940.16752759,30182.17713746,32818.12902779,32469.15584063,33705.25160842,32625.87058042,33846.91964880,73962.57654605,73956.79960743,76604.05909759,109906.51178089,116328.18099599,57688885036.55,52544937936.04,56424908572.74,56366357047.62,58202855282.85,56396204911.95,58340677515.69,129317212921.24,128595349651.74,132545370310.41,191335729022.96,201187784193.06
Rooms cook ,73065,Georgetown,Williamson County,TN,United States,"GREAT EASTERN,UPS",1998,21554297972.13,20135574295.23,21693344794.64,21814412462.05,22473338363.87,21829891710.17,22073524204.79,49453134227.60,49209778753.60,51175804245.36,73117027769.01,77248538870.38,295001.68305112,275584.40149497,296904.73954206,298561.72534114,307580.07751823,298773.58119715,302108.04358845,676837.53134332,673506.86037911,700414.75734428,1000712.07512503,1057257.76870430,57708385862.74,52743421394.84,56477679546.85,56581165551.91,58037783948.90,56228095733.92,57772126133.02,129595920110.72,128310978881.32,132618485171.63,191265055267.95,201372875867.41
Soon regular workers,385831,Salem,Marshall County,IN,United States,"GREAT EASTERN,UPS",1998,21580704224.78,20164573372.84,21569278141.34,21653765100.55,22501157618.08,21771147249.84,22376224123.13,48976489053.31,49282015989.58,51195033433.87,72897860400.76,77210722713.69,55933.04898979,52262.70925053,55903.43477154,56122.40877625,58318.68776247,56426.64080865,57994.88408949,126937.67233143,127729.53959007,132687.71413875,188937.28186890,200115.39434024,57557899176.39,52510560472.44,56389906410.78,56058478274.86,58399796126.20,56451461359.96,58204268712.81,129539063347.39,128298990087.43,132780060021.58,191768233135.25,201046568668.41
Surprising emot,520093,Lakeview,Levy County,FL,United States,"GREAT EASTERN,UPS",1998,21711477297.80,20148622458.17,21801745137.04,21779711797.04,22383998057.02,21839016231.85,22515615120.74,49037600767.04,49156894597.89,51035412566.94,72804884460.16,77187524428.77,41745.37495756,38740.42230557,41918.93591538,41876.57168437,43038.45284790,41990.59828117,43291.51732621,94286.21567112,94515.58586231,98127.47444580,139984.35752867,148411.00424111,57536042445.68,52808884921.77,56604045732.58,56709583313.63,58155989080.55,56526762695.02,58519217121.08,129408956067.84,128393154264.20,132730550219.85,191324079476.59,200762923073.14
Therefore urg,572104,Midway,Daviess County,MO,United States,"GREAT EASTERN,UPS",1998,21455951390.77,20173749485.49,21663745321.08,21675938472.30,22395975127.62,21603565742.95,22380459380.20,49224918094.66,49307822402.36,50847656286.50,72743447905.63,76682013252.03,37503.58569556,35262.38146471,37866.79575930,37888.10858218,39146.68509156,37761.60583207,39119.56459001,86041.90513379,86186.81638716,88878.34429842,127150.74165821,134035.09371029,57588683448.31,52671220552.22,56577292457.20,56296988901.95,58321986399.31,56617816694.82,58411950859.15,129821142737.40,128358950553.44,132751529423.75,191079700580.29,200528450117.99
Total sports leap a,448263,Lakeview,Mesa County,CO,United States,"GREAT EASTERN,UPS",1998,21641610070.22,20286559010.60,21622815193.79,21715687371.85,22345060283.39,21445925740.84,22227143731.12,49019041456.04,49256545884.35,50965825266.32,73052859151.35,76710283325.51,48278.82307980,45255.93013610,48236.89484475,48444.07718650,49848.10319699,47842.28397356,49585.05103281,109353.30700066,109883.13977364,113696.25703286,162968.74636396,171127.84977906,57892195044.37,53051538257.66,56090209493.23,56552823454.59,58214893153.30,56336369282.40,58249561774.80,129254985282.12,128552662648.36,132882480900.63,192123522377.34,200778958384.87
Unexpected sup,834785,Salem,Jackson County,NC,United States,"GREAT EASTERN,UPS",1998,21577487553.06,20198701688.48,21561002312.15,21748188638.45,22460319314.10,21540464492.16,22205637132.84,48917152077.01,49209389904.57,50636212632.30,72685961798.82,77289768119.75,25847.95792097,24196.29208537,25828.21003270,26052.44301041,26905.51377193,25803.60750632,26600.42661624,58598.50389862,58948.57946006,60657.78928982,87071.47564801,92586.43617189,57716220703.61,52653187960.92,56328610731.56,56505526979.02,58578810662.04,55942218361.16,58180373589.02,129316541788.00,128545704385.49,132292267484.07,191128157498.75,201507116003.20
,,Midway,Mesa County,CO,United States,"GREAT EASTERN,UPS",1998,21710935039.91,20181868506.42,21784439704.62,21719660129.96,22460691422.44,21461758025.83,22571985939.35,49184829338.86,49215221101.64,50843338459.52,72845742703.76,77330422456.91,,,,,,,,,,,,,57877165365.04,52723468725.55,56442850539.21,56433392833.70,57894053116.11,56377575221.88,58545995874.72,129379078913.15,128389996037.55,132550534358.18,191284498212.75,200886836529.22
