S_STORE_NAME,S_COMPANY_ID,S_STREET_NUMBER,S_STREET_NAME,S_STREET_TYPE,S_SUITE_NUMBER,S_CITY,S_COUNTY,S_STATE,S_ZIP,30 days,31-60 days,61-90 days,91-120 days,>120 days
able,1,479,Park First,Lane,Suite 20,Riverview,Cocke County,TN,39003,8770,6976,4194,4036,8691
able,1,483,Dogwood ,Avenue,Suite D,Rosedale,Dade County,GA,32645,8377,6687,4446,4125,8444
able,1,49,Highland 1st,Drive,Suite 80,Harrisburg,Somerset County,MD,20974,9063,6786,4401,4184,8047
able,1,490,Fourth ,Cir.,Suite T,Jackson,Gage County,NE,69583,8426,6617,4250,4255,8482
able,1,521,Elm ,Dr.,Suite C,Glenwood,Fairfield County,SC,23511,8738,6836,4372,4145,8655
able,1,521,Fourth 12th,Lane,Suite O,Columbia,Abbeville County,SC,23292,8796,6365,4210,4239,8606
able,1,535,Locust ,Dr.,Suite 90,Liberty,Maverick County,TX,73451,8710,6746,4130,4362,8444
able,1,54,12th ,Cir.,Suite B,White Oak,Brazos County,TX,76668,8411,6449,3903,4267,8852
able,1,543,West Elm,Ln,Suite A,Franklin,Salem County,NJ,09701,8837,6720,4290,4632,8144
able,1,545,Pine ,ST,Suite D,Fairview,Richland County,OH,45709,8834,6792,4170,4192,8302
able,1,550,Ridge ,Cir.,Suite 10,Five Forks,Gage County,NE,62293,8744,6886,4231,4225,8193
able,1,554,Cherry ,Drive,Suite I,Cloverdale,Somerset County,MD,22000,8664,6778,4392,4480,8700
able,1,557,Elevnth 7th,Pkwy,Suite L,Farmington,Walker County,AL,39145,8808,6839,4318,4136,8432
able,1,562,8th ,Ln,Suite 110,Dayton,Somerset County,MD,22633,8759,6906,4235,4163,8245
able,1,571,First Main,Road,Suite 130,Maple Grove,Terry County,TX,78252,8836,6344,4256,4396,8416
able,1,589,8th 6th,Avenue,Suite V,Highland Park,Camden County,GA,36534,8906,6934,4041,4423,8815
able,1,605,Williams South,Ln,Suite D,Winchester,Bronx County,NY,13252,8474,6725,4269,4308,8459
able,1,610,Birch Sycamore,Parkway,Suite 10,Ashland,Jefferson Davis Parish,LA,74244,8767,6742,4248,4321,8468
able,1,617,3rd Sixth,ST,Suite V,Jefferson,Van Buren County,MI,41795,8496,6616,4432,4121,8825
able,1,62,15th ,Wy,Suite 50,Marion,Adams County,IN,40399,8899,6680,4402,4340,8689
able,1,633,Elm ,Way,Suite 280,Harrisburg,Halifax County,NC,20974,8596,6930,4402,4313,8369
able,1,634,Park 4th,Avenue,Suite 70,Woodland,Baltimore County,MD,24854,8950,6784,4153,4087,8196
able,1,667,Ridge Maple,Pkwy,Suite X,Sherwood Forest,Saginaw County,MI,46702,8562,6637,4161,4465,8297
able,1,667,Sunset ,Ct.,Suite Q,Springdale,Walker County,AL,38883,8629,6765,4279,4115,8149
able,1,672,Williams 2nd,Pkwy,Suite 40,Fairfield,Klamath County,OR,96192,8683,6858,4501,4232,8568
able,1,685,North Second,Road,Suite Y,Mount Pleasant,Oglethorpe County,GA,31933,8585,6676,4375,4195,8384
able,1,698,Highland 13th,Court,Suite H,Georgetown,Pennington County,MN,57057,8705,6653,4265,4601,8257
able,1,698,North Hill,Road,Suite I,Fairview,Raleigh County,WV,25709,8522,6543,4188,4494,8632
able,1,702,Cedar 6th,Blvd,Suite 370,Chester,Essex County,VT,06688,8747,6263,4168,4225,8405
able,1,707,View ,Ave,Suite 150,Belmont,Perry County,IL,60191,8403,7222,4064,4154,8682
able,1,714,Washington Forest,Boulevard,Suite 350,Corinth,Sumner County,TN,37022,8449,6744,4257,4318,8895
able,1,722,Railroad Spring,Ct.,Suite M,Pleasant Valley,Miller County,GA,32477,8899,6611,4236,4169,8341
able,1,727,North Forest,Avenue,Suite H,Fairview,Wilkinson County,GA,35709,8656,6822,4104,4223,8486
able,1,738,Miller ,Court,Suite R,Providence,Anderson County,KY,46614,8709,6820,4161,4326,8998
able,1,749,Railroad Maple,Drive,Suite 10,Richland,Wilkinson County,GA,36510,8358,6574,4611,4345,8564
able,1,771,Willow ,Street,Suite N,Lincoln,Sumner County,TN,31289,8678,6575,4078,4267,8495
able,1,799,1st 7th,Ct.,Suite 100,Cedar Grove,Wadena County,MN,50411,8647,6714,4207,4214,8564
able,1,811,Eigth ,RD,Suite M,Shady Grove,Quay County,NM,82812,8294,6432,4203,4416,8462
able,1,822,Johnson Third,ST,Suite P,Providence,Richland County,OH,46614,8556,6786,4240,4484,8667
able,1,824,Valley ,Cir.,Suite A,Woodville,Harmon County,OK,74289,8591,6660,4255,4365,8717
able,1,837,Cherry Washington,Way,Suite 10,Fairview,Lea County,NM,85709,8919,6700,4145,4274,8311
able,1,838,Pine Tenth,Parkway,Suite 360,Mount Olive,Mariposa County,CA,98059,8718,6638,4345,4434,9053
able,1,841,Mill Woodland,Pkwy,Suite S,Troy,Green Lake County,WI,50320,8654,6732,4144,4137,8813
able,1,846,Cherry ,ST,Suite T,Oak Grove,Jackson County,NC,28370,8984,6739,4302,4328,8645
able,1,868,Main Park,Ct.,Suite 240,Dayton,Warren County,IN,42633,8794,6432,4360,4293,8471
able,1,872,College ,Cir.,Suite J,Newport,Somerset County,MD,21521,9405,6933,4202,4484,8872
able,1,880,4th Adams,Boulevard,Suite 370,Glendale,Brazos County,TX,73951,8677,6623,3975,4044,8338
able,1,895,6th ,Circle,Suite 380,Oak Hill,Brazos County,TX,77838,8760,6744,4185,4154,8424
able,1,91,1st ,Boulevard,Suite B,Liberty,Warren County,IN,43451,8618,6627,4535,4101,8474
able,1,91,Fifth ,Court,Suite 180,Jefferson,Walker County,AL,31795,8645,6810,4419,4141,8635
able,1,913,Eigth Elm,Ct.,Suite 470,Watson,Harmon County,OK,71771,8603,6951,4030,4164,8835
able,1,924,2nd Meadow,Way,Suite Y,Plainview,Brazos County,TX,73683,8866,6491,4460,4449,8506
able,1,936,Franklin ,Drive,Suite D,Jackson,Bronx County,NY,19583,8900,6731,4389,4073,8616
able,1,940,River Second,Street,Suite Q,Eureka,Franklin Parish,LA,75990,8518,6627,4131,4354,8694
able,1,940,South ,Ave,Suite I,Belmont,Mobile County,AL,30191,9104,6739,4384,4266,8727
able,1,942,Railroad ,Avenue,Suite 290,Bethel,Raleigh County,WV,25281,8686,6737,4690,4302,8154
able,1,943,15th Mill,Dr.,Suite 150,Four Corners,Barrow County,GA,36871,8836,6598,4249,4332,8322
able,1,954,Walnut ,Pkwy,Suite L,Williamsburg,Hubbard County,MN,58336,8599,6383,4271,4160,9095
able,1,970,7th ,Dr.,Suite 50,Highland Park,Henry County,VA,26534,8703,6833,4358,4239,8507
able,1,972,3rd Highland,Avenue,Suite 230,Spring Hill,Montgomery County,KS,66787,9375,6686,4163,4162,8613
able,1,972,Chestnut ,Wy,Suite S,Washington,Dade County,GA,38283,8427,6778,4399,4178,8810
able,,941,,Avenue,Suite 210,,Henry County,,,8784,6484,4274,3937,8274
